GeneSymbol	VPK1	VPK2	VPK3	VPK4	WT1	WT2	WT3	WT4
Papss1	9.464046624	9.560971679	9.469583444	9.368046034	10.28142402	10.18658314	10.26398557	10.14428516
Fcrlb	7.291879115	7.462282637	7.658883064	7.368503317	6.187274651	6.016251161	6.47128573	6.108042493
Gm12537	13.66195959	13.62141885	13.82344505	13.51614407	12.79054045	12.70112697	12.77641341	12.93616214
NA	7.339161583	7.612753706	7.254712658	7.454449343	6.256696913	6.103188745	6.526633544	6.212116767
Gm14760	13.78373084	13.75103525	13.9433957	13.62058111	13.00708985	12.97044577	13.03167835	13.09832709
Jchain	7.037173484	6.853148328	7.79878729	7.348620781	5.705364699	5.3724382	5.613549707	5.989335813
Cdh23	8.530848668	8.434866627	8.616820285	9.503243635	7.196440833	7.307077586	7.212814485	7.239881727
Ciita	7.818051795	8.12040928	7.756134305	8.501751787	6.641267271	6.130262026	6.838496346	6.410894551
NA	8.807148581	8.775814532	9.090526082	9.112670163	7.992708963	7.939270712	8.04982744	8.140861937
Gabbr1	11.07010496	10.98415764	11.33797344	11.21031252	9.720939164	10.22684972	10.10301343	10.21262093
Pi16	11.64174325	11.5732509	11.92901796	11.99325903	10.58827394	10.71873815	10.93956218	10.85025722
Gm7336	13.78951219	13.75545576	13.95473554	13.62366819	13.02850939	12.98293659	13.04314427	13.14274868
Baiap3	8.882396727	8.906531907	8.840278006	8.954585717	7.820900407	7.962342046	8.247509485	8.029786277
Rasgrp4	12.72093391	12.64155598	12.86970503	12.69605058	11.70819375	11.90556986	12.10075899	11.90115552
Cd9	11.49897319	11.48486979	11.94491231	11.79938187	12.70040202	12.50361345	12.77823077	12.74563545
Cp	8.083701068	8.1911574	8.165535675	7.809998856	9.400094372	8.948863198	9.260933212	8.938864723
Adpgk	13.31187589	13.38923321	13.61961996	13.82515415	12.48395568	12.60451342	12.68959515	12.57921062
Csf1	9.462010717	9.538191311	9.425945763	9.47061919	10.13098248	10.12273514	10.43973141	10.21975392
Cacna2d2	9.773940596	9.683652442	10.37295161	10.07569011	8.347516023	8.727815012	8.441514468	8.967514299
Ccno	9.223152749	9.365570516	9.353242205	9.644450094	8.309382825	8.516977986	8.658775584	8.370192965
NA	6.76161447	6.562917105	6.711235003	6.853608948	5.705364699	5.882721538	5.720228359	5.668797678
Trim11	11.12313182	11.05193711	11.04534552	11.00360787	10.43621447	10.45632518	10.60457381	10.4824479
Gm12671	13.78606646	13.75637927	13.94782692	13.62292789	13.0162158	12.97340476	13.03522903	13.21288219
Lilra6	12.11319987	12.02069606	12.40846304	12.08821751	11.43242022	11.31083566	11.43458367	11.44272226
Il2ra	7.202187832	7.788250359	7.178989093	7.736970944	6.439154629	6.424423106	6.412863019	6.390687826
Jaml	8.693247923	8.580463361	9.109990153	9.423662394	7.672917474	7.27891757	7.838511336	7.158315964
S1pr4	10.9433266	11.06988253	11.21162384	11.17505092	10.22964066	10.32939108	10.50853163	10.42909683
Olr1	8.81996897	8.814401139	8.902286908	8.856686858	9.406073795	9.485647245	9.441484635	9.631832205
Rgs14	11.39155298	11.32914116	11.51928724	11.500458	10.8694617	10.93637947	10.8708006	10.86093656
Axl	10.49319003	10.36290035	10.12172589	10.27498965	11.52622027	11.03433691	11.6867707	11.23796399
Sell	13.24405937	13.0733805	13.78552179	14.07148497	12.0907347	11.8720107	12.40175659	12.1060765
Pmp22	6.952064503	6.769106121	6.694780373	6.405917652	7.672917474	7.648981499	7.557898012	7.743320627
Fcrla	6.551704058	6.330142698	7.025209515	6.777063875	5.53902136	5.546825026	5.669666496	5.473006687
Prss34	8.045572445	8.286408756	8.192149806	8.154472089	7.32599611	7.33464393	7.565668782	7.35335174
Pmepa1	5.672602719	6.022700756	5.740755467	5.796472916	6.671621551	6.786551501	6.708554689	7.001644537
NA	7.420208869	7.487192659	7.025209515	7.032544829	5.792505681	6.254432745	6.188874709	6.305521273
Pira11	12.94940079	12.97648948	13.19842684	13.15892946	12.42325732	12.50096209	12.42049667	12.50967806
Fbxo10	8.686255305	8.732797863	9.166842905	9.148916686	7.839076056	8.07227765	7.965658483	8.07315
Pde1b	10.10629027	9.859242087	10.16079127	10.39671566	9.221669231	9.16000152	9.395796908	9.361696811
