"SampleID"	"PatientID"	"CellType"
"Melan-3_EC-1"	"Melan-3"	"EC-1"
"Melan-3_EC-2"	"Melan-3"	"EC-2"
"Melan-3_EC-3"	"Melan-3"	"EC-3"
"Melan-3_APOE+_MAMs"	"Melan-3"	"APOE+_MAMs"
"Melan-3_S100A8+_MAMs"	"Melan-3"	"S100A8+_MAMs"
"Melan-3_MSC-like-c1"	"Melan-3"	"MSC-like-c1"
"Melan-3_MSC-like-c2"	"Melan-3"	"MSC-like-c2"
"Melan-3_MTCs"	"Melan-3"	"MTCs"
"Melan-3_PC-1"	"Melan-3"	"PC-1"
"Melan-3_PC-2"	"Melan-3"	"PC-2"
"Melan-3_PC-3"	"Melan-3"	"PC-3"
"Melan-3_CM1_CD4+_T"	"Melan-3"	"CM1_CD4+_T"
"Melan-3_CM2_CD4+_T"	"Melan-3"	"CM2_CD4+_T"
"Melan-3_EM_CD8+_T"	"Melan-3"	"EM_CD8+_T"
"Melan-3_CM_T"	"Melan-3"	"CM_T"
"Melan-3_Treg"	"Melan-3"	"Treg"
"Melan-3_vSMCs"	"Melan-3"	"vSMCs"
"Ovarian-1_Astrocytes"	"Ovarian-1"	"Astrocytes"
"Ovarian-1_B-c1"	"Ovarian-1"	"B-c1"
"Ovarian-1_CD1C+/CLEC10A+_cDC2"	"Ovarian-1"	"CD1C+/CLEC10A+_cDC2"
"Ovarian-1_EC-1"	"Ovarian-1"	"EC-1"
"Ovarian-1_EC-2"	"Ovarian-1"	"EC-2"
"Ovarian-1_EC-3"	"Ovarian-1"	"EC-3"
"Ovarian-1_APOE+_MAMs"	"Ovarian-1"	"APOE+_MAMs"
"Ovarian-1_S100A8+_MAMs"	"Ovarian-1"	"S100A8+_MAMs"
"Ovarian-1_MSC-like-c1"	"Ovarian-1"	"MSC-like-c1"
"Ovarian-1_MSC-like-c2"	"Ovarian-1"	"MSC-like-c2"
"Ovarian-1_MTCs"	"Ovarian-1"	"MTCs"
"Ovarian-1_PC-1"	"Ovarian-1"	"PC-1"
"Ovarian-1_PC-2"	"Ovarian-1"	"PC-2"
"Ovarian-1_PC-3"	"Ovarian-1"	"PC-3"
"Ovarian-1_CM1_CD4+_T"	"Ovarian-1"	"CM1_CD4+_T"
"Ovarian-1_CM2_CD4+_T"	"Ovarian-1"	"CM2_CD4+_T"
"Ovarian-1_EM_CD8+_T"	"Ovarian-1"	"EM_CD8+_T"
"Ovarian-1_Treg"	"Ovarian-1"	"Treg"
"Ovarian-1_vSMCs"	"Ovarian-1"	"vSMCs"
"Ovarian-2_Astrocytes"	"Ovarian-2"	"Astrocytes"
"Ovarian-2_B-c1"	"Ovarian-2"	"B-c1"
"Ovarian-2_B-c2"	"Ovarian-2"	"B-c2"
"Ovarian-2_CD1C+/CLEC10A+_cDC2"	"Ovarian-2"	"CD1C+/CLEC10A+_cDC2"
"Ovarian-2_EC-1"	"Ovarian-2"	"EC-1"
"Ovarian-2_EC-2"	"Ovarian-2"	"EC-2"
"Ovarian-2_EC-3"	"Ovarian-2"	"EC-3"
"Ovarian-2_APOE+_MAMs"	"Ovarian-2"	"APOE+_MAMs"
"Ovarian-2_S100A8+_MAMs"	"Ovarian-2"	"S100A8+_MAMs"
"Ovarian-2_MSC-like-c1"	"Ovarian-2"	"MSC-like-c1"
"Ovarian-2_MSC-like-c2"	"Ovarian-2"	"MSC-like-c2"
"Ovarian-2_MTCs"	"Ovarian-2"	"MTCs"
"Ovarian-2_PC-1"	"Ovarian-2"	"PC-1"
"Ovarian-2_PC-2"	"Ovarian-2"	"PC-2"
