""	"GSE139948-GSM4141788-92017_Myeloid"	"GSE139948-GSM4141788-92017_Tumor"	"GSE139948-GSM4141789-92217_Myeloid"	"GSE139948-GSM4141789-92217_Stroma"	"GSE139948-GSM4141789-92217_Tumor"	"GSE139948-GSM4141790-92717_Myeloid"	"GSE139948-GSM4141790-92717_Stroma"	"GSE139948-GSM4141790-92717_Tumor"
"QARS"	1.33436809411938	1.18622949383657	1.44934839581092	1.2025019746915	1.2149166711446	1.44335772459086	1.38490555541418	1.35053535090313
"ORMDL3"	1.03735115003241	1.19129587091474	1.08757362490966	1.10331196459953	1.1430122207266	1.00883258836946	1.0374774866045	1.11733907049862
"SERF1A"	1	1.01232331133917	1.01112820232173	1	1.01792094165294	1.00294802018497	1.01881503832228	1.01212649107945
"KLF11"	1.09229048337548	1.00020256222097	1.03322383099053	1	1.0165884005735	1.04382737336816	1.14651581774123	1.01086632499827
"SMN1"	1.03735115003241	1.02036821714236	1.03322383099053	1	1.03332250120134	1.00883258836946	1	1.02994669348287
"EIF2AK3"	1.01875136121762	1.04115503391241	1.05511221275439	1.02625586580147	1.0496746587004	1.02055642009957	1.01881503832228	1.03992630531623
"MOB3A"	1.21600258438458	1.06392868120907	1.22362168092773	1.12846853151883	1.14781675039817	1.16246998001656	1.14651581774123	1.13799549516811
"KRCC1"	1.35089457080717	1.52966082129583	1.55188316353412	1.4361654160565	1.34186725710506	1.23058952400055	1.25113804232749	1.39697524538149
"NME6"	1.05580445098926	1.12600703126084	1.05511221275439	1.10331196459953	1.09549397970494	1.14863471163975	1.12867068761362	1.05357949104112
"CYCS"	1.94066218117982	3.07478063650897	1.87712182815704	2.26259363308729	2.98994548314498	2.06734034426374	1.68208890087097	3.45758781566091
"CALB2"	1.01875136121762	1.01916327530467	1.35326626120181	1	1.00026851828939	1	1	1
"FRMD3"	1	1.01453847384173	1.04419341245728	1.12846853151883	1.25284202391016	1.0147020000494	1.01881503832228	1.14945269830782
"SNTB1"	1.01875136121762	1.00505862367247	1.04419341245728	1	1.04309470869305	1.03803133262865	1.09259917994258	1.01741162682071
"MTBP"	1	1.02798495262408	1	1	1.03596765929378	1.02055642009957	1	1.03044668861439
"TEFM"	1.07411605506518	1.18435062644395	1.06598121821236	1.10331196459953	1.10784280823535	1.09820102596241	1.05599248002206	1.12167641564586
"MRPL13"	1.38368245343411	1.88012216867609	1.32385234704028	1.45858582064407	1.66399609954371	1.4131257236116	1.54448656881319	1.66414528813576
"MALT1"	1.11033200844589	1.027784832779	1.06598121821236	1.05221763352791	1.06487037436073	1.11231156087585	1.14651581774123	1.05704233680997
"ISG20"	1.11033200844589	1.01815867516218	1.07680138183895	4.03283021944063	1.19811256606351	1.13193433242451	1.46565824968577	1.25338923242682
"ID4"	1	1.19354453353113	1.03322383099053	2.37181912261858	1.41640213017772	1.0754554318233	1.01881503832228	2.0964903103505
"GPR22"	1	1.00303652975475	1	1	1.00322011716308	1	1	1
"CEBPB"	3.7916821328436	1.08140630375422	2.72669737677148	1.5029762611193	1.84429918445462	3.57418400048263	1.59093655658862	1.96580004055178
"AZU1"	1	1.0008101399569	1	1	1.00080545916369	1	1	1
"PAIP1"	1.18124684721476	1.77856367929576	1.32385234704028	1.56849699932949	1.51994179960568	1.24401240527596	1.30201088788875	1.44360276536242
"CLEC7A"	1.70981094994934	1	1.34349334318542	1	1.00026851828939	1.77564806821251	1	1.0027847145035
