""	"Myeloid"	"Stroma"	"Tumor"
"NBPF14"	1.38733183972708	1.37263887020295	1.38458762231953
"NBPF15"	1.37376849212143	1.25232385946922	1.37636352672358
"NBPF16"	1.72657760356781	1.64932942845163	1.67262008190655
"NBPF22P"	1.00284507223766	1.0096414327008	1.0048710874758
"NBPF24"	1.7303204936609	1.65714881184293	1.76814210111398
"NBPF3"	1.22116164041575	1.1540463784814	1.26633720729112
"NBPF4"	1.00022954836786	1.00081719531496	1.00090013063054
"NBPF6"	1.00167472523385	1	1.00095046419842
"NBPF7"	1.10164099814711	1.07173537625944	1.10686968861267
"NBPF9"	1.31629616190598	1.23835018581506	1.29768892076253
"NBR1"	1.72223957310701	1.77304461877407	1.94125578907012
"NBR2"	1.12919189216023	1.15523542434863	1.19543628267814
"NCALD"	1.38865239557054	1.05325545804008	1.40549648473965
"NCAM1"	2.1293373199067	1.70625993164358	2.60322447766023
"NCAM2"	1.84399135154081	1.35968585287989	1.70616986526509
"NCAN"	1.55900266426035	1.02888262522665	1.70617995353701
"NCAPD2"	1.14755126977592	1.19287985998438	1.18980180144185
"NCAPD3"	1.24070337611615	1.17146227203468	1.3286265223683
"NCAPG"	1.00739791418334	1.00337496226497	1.04218463619809
"NCAPG2"	1.16572554947213	1.14883562189643	1.23130691780492
"NCAPH"	1.03189095797831	1.0455455980333	1.05192553336133
"NCAPH2"	1.65218451111624	1.58981430194623	1.71018791092641
"NCBP1"	1.52876466657768	1.35691604629288	1.58735588470061
"NCBP2"	2.1330075047642	1.73775107801026	2.30039791203836
"NCCRP1"	1.03715629193766	1.04131427850261	1.03509525419499
"NCDN"	1.35008423497066	1.30764278090053	1.52143512991851
"NCEH1"	1.10307870485884	1.30625611974925	1.06633643092883
"NCF1"	1.28521700936691	1.61784862918349	1.05051063986886
"NCF1B"	1.18046844411604	1.40558638869864	1.02590254652449
"NCF1C"	1.22801540150188	1.54066791156782	1.03401239573857
"NCF2"	1.3634470452903	1.47466848365378	1.07089818263174
"NCF4"	1.40856260493661	1.79976041518294	1.05035974533395
"NCK1"	1.54404665934496	1.49754241943162	1.50372016326064
"NCK2"	1.40315310409177	1.51630568086106	1.21995822396552
"NCKAP1"	1.32992272129838	1.12355789155206	1.51467251117623
"NCKAP1L"	1.52345716991251	2.2202553474624	1.11392594427869
"NCKAP5"	1.3393327473126	1.31120681522646	1.38672063783828
"NCKAP5L"	1.27990931139095	1.31228761356782	1.28594736004542
"NCKIPSD"	1.17378589635355	1.26427115525352	1.31596878160359
"NCL"	2.90747227538365	2.6348059648883	2.71610937358136
"NCLN"	1.48831297778876	1.4486905914279	1.47277193125314
"NCMAP"	1.17175807864366	1.1740313379402	1.1583670599441
"NCOA1"	1.33933278681635	1.26675224989216	1.49917173213459
"NCOA2"	1.30864540093966	1.27620748429563	1.37670908842189
"NCOA3"	1.57886925923745	1.66752299600456	1.43415046041741
"NCOA4"	2.30539324189946	2.66149522181714	2.17816011211034
"NCOA5"	1.27507421384095	1.19865117041716	1.36247493323167
"NCOA6"	1.47336170035094	1.37077534754079	1.53594852250213
"NCOA7"	1.39662088101605	1.72116919372636	1.18499546850411
"NCOR1"	1.91474423904788	1.95801429942397	2.00576529958852
"NCOR1P1"	1.00600090593303	1	1.01056748100457
"NCOR2"	1.7237376730592	1.55563032073343	1.79600172526382
"NCR1"	1.00064786372888	1.01350770249229	1.00144871133237
"NCR2"	1.00197126172005	1	1.00084757211099
"NCR3"	1.00259705031112	1.01408594545948	1.00575581410087
"NCR3LG1"	1.06935796494024	1.09446681382304	1.07808742311953
"NCRNA00185"	1.08715971587557	1.03787187137432	1.17107394117763
"NCRUPAR"	1.43153186750914	1.39544312533498	1.4115190809433
