SampleID	Study	MajorCellType	Major Lineage	Cell Family	GEOName	Organism	GeneticBackground	Sex	AGE	Tissue Source	Exclusion Marker	Treatment	CellType	Phenotype_Marker	Separation Method
GSM1471933	GSE60336	Granulocytes	Myeloid		GN.Balb#2	Mouse	BTBR T+ tf/J	Male	6 WEEKS	Bone Marrow				CD11b+ Ly6G+	Bone Marrow Extract
GSM1471934	GSE60336	Granulocytes	Myeloid		GN.BPL#1	Mouse	BALB/cByJ	Male	6 WEEKS	Bone Marrow				CD11b+ Ly6G+	Bone Marrow Extract
GSM1471935	GSE60336	Granulocytes	Myeloid		GN.BPL#2	Mouse	BALB/cByJ	Male	6 WEEKS	Bone Marrow				CD11b+ Ly6G+	Bone Marrow Extract
GSM1471936	GSE60336	Granulocytes	Myeloid		GN.BTBR#1	Mouse	BPL/1J	Male	6 WEEKS	Bone Marrow				CD11b+ Ly6G+	Bone Marrow Extract
GSM1471937	GSE60336	Granulocytes	Myeloid		GN.BTBR#2	Mouse	BPL/1J	Male	6 WEEKS	Bone Marrow				CD11b+ Ly6G+	Bone Marrow Extract
GSM1471938	GSE60336	Granulocytes	Myeloid		GN.C3H#1	Mouse	C3H/HeJ	Male	6 WEEKS	Bone Marrow				CD11b+ Ly6G+	Bone Marrow Extract
GSM1471939	GSE60336	Granulocytes	Myeloid		GN.C3H#2	Mouse	C3H/HeJ	Male	6 WEEKS	Bone Marrow				CD11b+ Ly6G+	Bone Marrow Extract
GSM1471940	GSE60336	Granulocytes	Myeloid		GN.C57BR#1	Mouse	CBA/CaJ	Male	6 WEEKS	Bone Marrow				CD11b+ Ly6G+	Bone Marrow Extract
GSM1471941	GSE60336	Granulocytes	Myeloid		GN.C57BR#2	Mouse	CBA/CaJ	Male	6 WEEKS	Bone Marrow				CD11b+ Ly6G+	Bone Marrow Extract
GSM1471942	GSE60336	Granulocytes	Myeloid		GN.C57KS#1	Mouse	C57BLKS/J(662)	Male	6 WEEKS	Bone Marrow				CD11b+ Ly6G+	Bone Marrow Extract
GSM1471943	GSE60336	Granulocytes	Myeloid		GN.C57KS#2	Mouse	C57BLKS/J(662)	Male	6 WEEKS	Bone Marrow				CD11b+ Ly6G+	Bone Marrow Extract
GSM1471944	GSE60336	Granulocytes	Myeloid		GN.C57L#1	Mouse	C57L/J (668)	Male	6 WEEKS	Bone Marrow				CD11b+ Ly6G+	Bone Marrow Extract
GSM1471945	GSE60336	Granulocytes	Myeloid		GN.C57L#2	Mouse	C57L/J (668)	Male	6 WEEKS	Bone Marrow				CD11b+ Ly6G+	Bone Marrow Extract
GSM1471946	GSE60336	Granulocytes	Myeloid		GN.CAS#2	Mouse	CAST/EiJ	Male	6 WEEKS	Bone Marrow				CD11b+ Ly6G+	Bone Marrow Extract
GSM1471947	GSE60336	Granulocytes	Myeloid		GN.CAS#3	Mouse	CAST/EiJ	Male	6 WEEKS	Bone Marrow				CD11b+ Ly6G+	Bone Marrow Extract
GSM1471948	GSE60336	Granulocytes	Myeloid		GN.CBACA#1	Mouse	CBA/CaJ	Male	6 WEEKS	Bone Marrow				CD11b+ Ly6G+	Bone Marrow Extract
GSM1471949	GSE60336	Granulocytes	Myeloid		GN.CBACA#2	Mouse	CBA/CaJ	Male	6 WEEKS	Bone Marrow				CD11b+ Ly6G+	Bone Marrow Extract
GSM1471950	GSE60336	Granulocytes	Myeloid		GN.CBAJ#1	Mouse	CBA/J	Male	6 WEEKS	Bone Marrow				CD11b+ Ly6G+	Bone Marrow Extract
GSM1471951	GSE60336	Granulocytes	Myeloid		GN.CBAJ#2	Mouse	CBA/J	Male	6 WEEKS	Bone Marrow				CD11b+ Ly6G+	Bone Marrow Extract
GSM1471952	GSE60336	Granulocytes	Myeloid		GN.CE#1	Mouse	CE/J	Male	6 WEEKS	Bone Marrow				CD11b+ Ly6G+	Bone Marrow Extract
GSM1471953	GSE60336	Granulocytes	Myeloid		GN.CE#2	Mouse	CE/J	Male	6 WEEKS	Bone Marrow				CD11b+ Ly6G+	Bone Marrow Extract
GSM1471954	GSE60336	Granulocytes	Myeloid		GN.DBA2#1	Mouse	DBA/1LacJ	Male	6 WEEKS	Bone Marrow				CD11b+ Ly6G+	Bone Marrow Extract
GSM1471955	GSE60336	Granulocytes	Myeloid		GN.DBA2#2	Mouse	DBA/1LacJ	Male	6 WEEKS	Bone Marrow				CD11b+ Ly6G+	Bone Marrow Extract
GSM1471956	GSE60336	Granulocytes	Myeloid		GN.DDY#1	Mouse	DDY/JclSidSeyFrkJ	Male	6 WEEKS	Bone Marrow				CD11b+ Ly6G+	Bone Marrow Extract
GSM1471957	GSE60336	Granulocytes	Myeloid		GN.DDY#2	Mouse	DDY/JclSidSeyFrkJ	Male	6 WEEKS	Bone Marrow				CD11b+ Ly6G+	Bone Marrow Extract
