"SampleID"	"PatientID"	"CellType"	"SeuratCluster"
"MGH64.P1.G09_Tumor_3"	"MGH64.P1.G09"	"Tumor"	"3"
"MGH64.P1.G10_Tumor_3"	"MGH64.P1.G10"	"Tumor"	"3"
"MGH64.P1.G11_Tumor_3"	"MGH64.P1.G11"	"Tumor"	"3"
"MGH64.P1.G12_Tumor_3"	"MGH64.P1.G12"	"Tumor"	"3"
"MGH64.P1.H02_Tumor_3"	"MGH64.P1.H02"	"Tumor"	"3"
"MGH64.P1.H03_Tumor_3"	"MGH64.P1.H03"	"Tumor"	"3"
"MGH64.P1.H04_Tumor_3"	"MGH64.P1.H04"	"Tumor"	"3"
"MGH64.P1.H05_Tumor_3"	"MGH64.P1.H05"	"Tumor"	"3"
"MGH64.P1.H06_Tumor_3"	"MGH64.P1.H06"	"Tumor"	"3"
"MGH64.P1.H07_Tumor_3"	"MGH64.P1.H07"	"Tumor"	"3"
"MGH64.P1.H08_Tumor_5"	"MGH64.P1.H08"	"Tumor"	"5"
"MGH64.P1.H09_Tumor_3"	"MGH64.P1.H09"	"Tumor"	"3"
"MGH64.P1.H10_Tumor_3"	"MGH64.P1.H10"	"Tumor"	"3"
"MGH64.P1.H11_Tumor_3"	"MGH64.P1.H11"	"Tumor"	"3"
"MGH64.P1.H12_Tumor_3"	"MGH64.P1.H12"	"Tumor"	"3"
"MGH64.P16.A01_Tumor_5"	"MGH64.P16.A01"	"Tumor"	"5"
"MGH64.P16.A02_Tumor_3"	"MGH64.P16.A02"	"Tumor"	"3"
"MGH64.P16.A05_Tumor_3"	"MGH64.P16.A05"	"Tumor"	"3"
"MGH64.P16.A06_Tumor_7"	"MGH64.P16.A06"	"Tumor"	"7"
"MGH64.P16.A07_Tumor_12"	"MGH64.P16.A07"	"Tumor"	"12"
"MGH64.P16.A08_Tumor_3"	"MGH64.P16.A08"	"Tumor"	"3"
"MGH64.P16.A10_Stroma_13"	"MGH64.P16.A10"	"Stroma"	"13"
"MGH64.P16.A11_Tumor_3"	"MGH64.P16.A11"	"Tumor"	"3"
"MGH64.P16.A12_Tumor_5"	"MGH64.P16.A12"	"Tumor"	"5"
"MGH64.P16.B01_Tumor_3"	"MGH64.P16.B01"	"Tumor"	"3"
"MGH64.P16.B02_Tumor_3"	"MGH64.P16.B02"	"Tumor"	"3"
"MGH64.P16.B03_Tumor_3"	"MGH64.P16.B03"	"Tumor"	"3"
"MGH64.P16.B04_Tumor_5"	"MGH64.P16.B04"	"Tumor"	"5"
"MGH64.P16.B05_Stroma_13"	"MGH64.P16.B05"	"Stroma"	"13"
"MGH64.P16.B07_Tumor_3"	"MGH64.P16.B07"	"Tumor"	"3"
"MGH64.P16.B09_Tumor_3"	"MGH64.P16.B09"	"Tumor"	"3"
"MGH64.P16.B10_Tumor_4"	"MGH64.P16.B10"	"Tumor"	"4"
"MGH64.P16.B11_Stroma_13"	"MGH64.P16.B11"	"Stroma"	"13"
"MGH64.P16.B12_Tumor_3"	"MGH64.P16.B12"	"Tumor"	"3"
"MGH64.P16.C01_Tumor_3"	"MGH64.P16.C01"	"Tumor"	"3"
"MGH64.P16.C02_Tumor_3"	"MGH64.P16.C02"	"Tumor"	"3"
"MGH64.P16.C03_Tumor_5"	"MGH64.P16.C03"	"Tumor"	"5"
"MGH64.P16.C04_Tumor_3"	"MGH64.P16.C04"	"Tumor"	"3"
"MGH64.P16.C05_Tumor_3"	"MGH64.P16.C05"	"Tumor"	"3"
"MGH64.P16.C06_Tumor_7"	"MGH64.P16.C06"	"Tumor"	"7"
"MGH64.P16.C07_Tumor_3"	"MGH64.P16.C07"	"Tumor"	"3"
"MGH64.P16.C08_Tumor_7"	"MGH64.P16.C08"	"Tumor"	"7"
"MGH64.P16.C10_Tumor_3"	"MGH64.P16.C10"	"Tumor"	"3"
