""	"GSE141982-GSM4217362-SF12199_Myeloid"	"GSE141982-GSM4217362-SF12199_Stroma"	"GSE141982-GSM4217362-SF12199_Tumor"	"GSE141982-GSM4217363-Mixing_Myeloid"	"GSE141982-GSM4217363-Mixing_Tumor"	"GSE141982-GSM4217364-SF10432_Tumor"
"RP5-1024N4.4"	1	1.00218135448674	1.00279791825506	1	1.00277767683567	1
"SPATA6"	1.45191230446985	2.31490801635986	2.50090580006494	1.86681613494836	1.57146180490781	3.74487773319616
"AGBL4"	1.07039780821608	1.05178968287242	1.10269531887438	1.45202829286928	1.81939720841487	1.69650651360854
"RP11-141A19.1"	1.00259780902125	1.00109094026639	1.00139939171865	1	1.00555195168802	1
"RP11-141A19.2"	1.00129927747331	1.00436060909983	1.00838341789127	1.01231660345899	1.00277767683567	1
"ELAVL4"	1.13880156779218	1.01414149759104	1.22572772544903	1.47290293099935	1.39480270047154	1
"DMRTA2"	1.00519264161487	1.02711812537429	1.31636713745399	1	1	1
"FAF1"	2.16400851599377	3.1051572230942	3.10776424809448	2.78612684548495	2.5919235387893	2.28175023371705
"RP5-850O15.3"	1.00259780902125	1.00327124373965	1.01673609361529	1	1	1
"CDKN2C"	1.04376751328914	1.08359051393869	1.7093813526998	1	1.00555195168802	1.69650651360854
"C1orf185"	1	1.00218135448674	1.02505850162561	1	1	1
"LINC01562"	1.00519264161487	1.00979961485408	1.01256356856555	1.0245672202814	1.03311140126409	1
"RNF11"	1.2185614095976	1.48817361227455	1.45214193408208	1.31290753153971	1.24315732006802	1
"RP11-296A18.6"	1.00129927747331	1.00762557251297	1.00279791825506	1	1	1
"TTC39A"	1	1.00436060909983	1.00698832945351	1.01231660345899	1.01016823107769	1
"TTC39A-AS1"	1.00129927747331	1	1.00279791825506	1.0245672202814	1.00277767683567	1
"EPS15"	1.90097034667584	2.85137672674168	1.77941162321203	2.03225002354846	1.55321209307458	1
"RP11-253A20.1"	1	1.00544945163811	1.00139939171865	1	1	1
"RP11-191G24.1"	1.00519264161487	1.01955730813355	1.01534609557155	1	1.00462757030768	1
"OSBPL9"	1.42313657023959	2.3299372077621	1.65377494588165	1.83861703595495	1.83571369517958	1.69650651360854
"NRDC"	1.42646992478754	1.73043271894097	1.73140014759794	1.87617394417704	1.76933342174484	1.69650651360854
"RP4-657D16.3"	1	1.00109094026639	1.00279791825506	1	1	1
"RP4-657D16.6"	1	1.00218135448674	1.00279791825506	1	1	1
"RAB3B"	1.00129927747331	1.00109094026639	1.04161434893261	1.0245672202814	1.01569547085486	1
"TXNDC12"	1.28795042779677	1.1837272216598	1.30643499192779	1.31290753153971	1.1594402726693	1.69650651360854
"RP11-91A18.4"	1.00648894627799	1.00544945163811	1.00977765240984	1	1.01016823107769	1
"BTF3L4"	1.39634387039054	1.37931872902555	1.53188031329552	1.39924851144253	1.39160282669578	1
"ZFYVE9"	1.10047790915198	1.35175056891362	1.52956157774887	1.59553082985844	1.77724178712513	2.80635343352764
"CC2D1B"	1.08297609606478	1.10977863735791	1.07980055668602	1.14374349220445	1.11126861825964	1
"ORC1"	1.00519264161487	1.00109094026639	1.03610875871358	1.01231660345899	1.01293351994626	1
"PRPF38A"	1.11909415398952	1.16747461858808	1.2688866950042	1.16691439547401	1.11568566253963	1
"ZCCHC11"	1.76176654795203	1.78906007660469	2.23125615653034	2.46383224063607	2.47776138095914	1.69650651360854
"GPX7"	1.06155395592216	1.02711812537429	1.09598357942881	1	1.02029135103565	1
"FAM159A"	1.51737746306909	1.01414149759104	1.04436231630549	1.14374349220445	1.02029135103565	1
"COA7"	1.0526773651001	1.03250365306683	1.06895201356155	1.03675333031978	1.01569547085486	1
"ZYG11B"	1.36932160970426	1.40007072013893	1.45451454303397	1.52452744528253	1.45185842511016	1.69650651360854
"ZYG11A"	1.00129927747331	1.00218135448674	1.00139939171865	1.01231660345899	1.00647595703539	1
"ECHDC2"	1.18501478290797	1.09200091557797	1.04573510004649	1.36715442434888	1.16637295069908	1
"SCP2"	1.70881663397171	1.53452643268089	1.69167553923949	1.50397190301182	1.4463553301212	1.69650651360854
"PODN"	1.00129927747331	1.01197158709047	1.03610875871358	1.06093766462863	1.39799932773246	1
"CPT2"	1.05902115035695	1.06986157202614	1.08790538942184	1.04887635582942	1.03584938632091	1
"RP5-1024G6.2"	1.00389559646423	1.00979961485408	1.01673609361529	1.0245672202814	1.06125168988207	1
"C1orf123"	1.10794101403266	1.16033256860811	1.22060614101116	1.06093766462863	1.07833653106467	1
"MAGOH"	1.24581442402496	1.17358101403072	1.29896389803833	1.12036287475752	1.09263131899628	1.69650651360854
"RP5-1024G6.5"	1.00129927747331	1.00762557251297	1.00559238486473	1	1.00370281224176	1
"LRP8"	1.06913638573451	1.1201773993775	1.18967378097565	1.12036287475752	1.22458585384461	1
"RP4-784A16.5"	1.00129927747331	1.00109094026639	1.00139939171865	1.01231660345899	1.00924572337588	1
"RP11-117D22.2"	1.00519264161487	1	1	1	1	1
"GLIS1"	1.00129927747331	1.00218135448674	1.00139939171865	1.06093766462863	1.25993449568094	1
"NDC1"	1.10794101403266	1.11913945069208	1.20647240935735	1.12036287475752	1.16117515905832	1
"YIPF1"	1.09174252888616	1.09200091557797	1.08925359453305	1.12036287475752	1.06846004109138	1.69650651360854
"DIO1"	1.01166679588203	1.00544945163811	1.06487123749783	1.01231660345899	1.00370281224176	1
"HSPB11"	1.27046902541542	1.1806874148838	1.27517861250199	1.10859134277501	1.12185655432183	1
"LRRC42"	1.03610361750647	1.05605418847646	1.08790538942184	1.04887635582942	1.04767721204451	1
"TMEM59"	1.78295084818483	2.78862490911102	1.89491069451377	1.35638223200319	1.29897807631164	1
"TCEANC2"	1.07543693529569	1.08674779003809	1.10135442053683	1.03675333031978	1.11480287377012	1.69650651360854
"RP11-446E24.4"	1.00648894627799	1.01955730813355	1.02367351580096	1.01231660345899	1.02854093796363	1
"MRPL37"	1.11414330620554	1.08359051393869	1.13334013101051	1.08488034860994	1.10152363119161	1
"SSBP3"	1.09174252888616	1.7218632747959	1.48167779356331	1.70437599389823	2.11207762618615	2.28175023371705
"ACOT11"	1.16079353678209	1.03572900647973	1.07709296005473	1.30193936430519	1.19734772494945	1
"FAM151A"	1.00648894627799	1.00218135448674	1.00279791825506	1	1.00277767683567	1
"MROH7-TTC4"	1.00389559646423	1.00218135448674	1.00559238486473	1.06093766462863	1.03949505788086	1
"TTC4"	1.00259780902125	1.00436060909983	1.00838341789127	1	1.0073995870004	1
"PARS2"	1.00519264161487	1.00653777242144	1.01673609361529	1.01231660345899	1.00832284223168	1
"TTC22"	1.00519264161487	1.00109094026639	1.04161434893261	1	1	1
"DHCR24"	1.01037343527472	1.42442166901006	1.07573803144539	1.0245672202814	1.03584938632091	1
"USP24"	1.53892156206479	1.55433087573481	1.59505189379672	2.19191902259467	1.81441846268951	2.80635343352764
"RP11-90C4.1"	1.01683294008092	1.05178968287242	1.0319710539151	1.03675333031978	1.03858417128037	1
"RP11-504A18.1"	1	1.00653777242144	1.00419558188275	1.01231660345899	1.00832284223168	1
"PLPP3"	1.05394747354608	1.89234445774344	2.08587314360115	1.99601623339968	2.13332306394849	1.69650651360854
"PRKAA2"	1.00648894627799	1.16033256860811	1.25119526708202	1.25764937657262	1.32444778546196	1
"C1orf168"	1	1	1.00559238486473	1.03675333031978	1.08281261841564	1
"DAB1"	1.47497108221596	1.41507788932023	1.93376410496759	1.3347232472572	1.67538281834406	1.69650651360854
"RP11-393I23.4"	1	1.00109094026639	1.00279791825506	1	1	1
"TACSTD2"	1	1.00327124373965	1	1	1	1
"MYSM1"	1.20303771210232	1.43466859022307	1.28396428633852	1.35638223200319	1.35051364628476	2.28175023371705
"JUN"	5.70925225348039	3.51942124823778	5.42714281501314	1.90412443509742	1.52258278389191	1
"LINC01135"	1.0526773651001	1.30653329170398	1.05121828140769	1.16691439547401	1.23135345039229	1
"RP11-63G10.2"	1	1.00544945163811	1.00698832945351	1	1	1
"RP4-794H19.1"	1.00907934132232	1.02819622935359	1.00559238486473	1	1.00555195168802	1
"LINC01358"	1.16808322131119	1.03572900647973	1.04023916132034	1.07293857303692	1.04858459248264	1
"FGGY"	1.63636643553293	1.30362367806257	1.31636713745399	1.47290293099935	1.26995344853867	2.80635343352764
"RP4-782L23.2"	1.00648894627799	1.00653777242144	1.00698832945351	1	1.00462757030768	1
"HOOK1"	1.00129927747331	1.00653777242144	1.00279791825506	1.0245672202814	1.02854093796363	1
"CYP2J2"	1.01683294008092	1.4094584945895	1.03473033785109	1.06093766462863	1.08728052947079	1
"C1orf87"	1	1.00218135448674	1.00559238486473	1	1.00277767683567	1
"RP11-776H12.1"	1.01295942491089	1.01197158709047	2.36491355238381	2.12161301464574	2.13795801168513	2.80635343352764
"RP11-436K8.1"	1.01812266031303	1.01955730813355	2.38400519965615	2.09498188533979	2.29237238738898	1
"NFIA"	1.99385977683452	3.58355410340904	7.26352575045383	4.30523186887757	4.41634759697704	8.41015809784342
"NFIA-AS2"	1.00129927747331	1.00544945163811	1.18967378097565	1.0245672202814	1.04495298024294	1
"TM2D1"	1.32030501708731	1.48542716238751	1.46635201105515	1.35638223200319	1.33098539853973	1
"RP11-430G17.3"	1.00129927747331	1.00544945163811	1.03335110360096	1	1.06395735436962	1
"INADL"	1.24109385138183	1.36318799907245	1.56532969240577	1.25764937657262	1.33343333933471	1.69650651360854
"L1TD1"	1	1.00544945163811	1.00279791825506	1	1.00462757030768	1
"KANK4"	1.00259780902125	1.09933655936141	1.00419558188275	1.03675333031978	1.01477519037814	1
"USP1"	1.11290407270281	1.19181654244368	1.34964670146824	1.0967642126882	1.04858459248264	1.69650651360854
"DOCK7"	1.28329904067342	1.15419528815264	2.23419900011169	2.13928512461794	2.17290825559764	2.80635343352764
"ANGPTL3"	1.00259780902125	1	1	1	1	1
"RP11-230B22.1"	1.00778451225067	1.00327124373965	1.17276947729927	1.22397403038808	1.30145250269515	1
"ATG4C"	1.39185632785431	2.44867197204028	1.42353513347473	1.65529424392273	1.43374185344379	1
"FOXD3-AS1"	1	1.00327124373965	1.0635094402279	1.01231660345899	1.00370281224176	1
"FOXD3"	1	1.00109094026639	1.01117103523079	1	1	1
"ALG6"	1.08548398727924	1.10351863778612	1.29522121221231	1.22397403038808	1.1706966223496	1
"ITGB3BP"	1.08798931604409	1.13259979821929	1.45807024794074	1.16691439547401	1.17328743454794	1
"EFCAB7"	1.05394747354608	1.16135405094342	1.29397258626192	1.20129442809423	1.22373874079225	1
"PGM1"	1.06913638573451	1.05605418847646	1.31016345126805	1.04887635582942	1.08995737782221	1.69650651360854
"ROR1"	1.02069993392901	1.49091782013802	1.54229547200601	1.08488034860994	1.11391977542087	2.28175023371705
"ROR1-AS1"	1.00129927747331	1.00871285297201	1.02090105193616	1	1	1
"CACHD1"	1.02456045295893	1.04965455815517	1.58250729290681	1.81022515205491	1.92329857966502	1
"RAVER2"	1.00259780902125	1.04002257499134	1.27140511582539	1.23524422950165	1.3228111503288	1
"JAK1"	1.9379743584577	1.67699303873563	1.67611539568637	1.86681613494836	1.60242354432065	1
"RP4-535B20.4"	1.00389559646423	1.00544945163811	1.00139939171865	1	1	1
"RP4-535B20.1"	1.00129927747331	1	1.00279791825506	1	1	1
"AK4"	1.01295942491089	1.03142754400215	1.59846556754544	1.03675333031978	1.09352198900062	3.29050318245879
"DNAJC6"	1.07039780821608	4.343046111698	1.53419749612756	1.57538924631248	1.86534474955402	1
"RP5-1044H5.1"	1.00389559646423	1.33931146958554	1.09598357942881	1.0245672202814	1.03767293087784	1
"LEPR"	1.12526911455651	1.21393813605987	1.12538153508346	1.0967642126882	1.0801279512436	1
"PDE4B"	2.93588021675296	8.69133578040767	4.15877276424814	3.75196538350244	4.14722335472834	9.60872974641303
"RP11-397C12.1"	1	1.00871285297201	1.01117103523079	1	1	1
"SGIP1"	1.04376751328914	2.38814684527302	1.31760632111645	2.07714429016712	2.42481144351896	1.69650651360854
"RP4-598P13.1"	1	1.03465438333401	1.00419558188275	1	1.00370281224176	1
"TCTEX1D1"	1.00129927747331	1.00109094026639	1.00977765240984	1	1.0073995870004	1
"WDR78"	1.00519264161487	1.07303668253165	1.23721682852704	1.18988336910337	1.243998552469	1
"MIER1"	1.31685534770572	1.53362354766031	1.46871442566283	1.46248209991364	1.38278631855941	1
"SLC35D1"	1.09673794712049	1.3277836613926	1.38377942126456	1.16691439547401	1.24063210908813	1
"C1orf141"	1	1	1.00419558188275	1	1	1
"IL23R"	1	1.00218135448674	1.00139939171865	1	1	1
