"cnames"	""	""	""
"g29_Tcells_9"	"g29"	"Tcells"	"9"
"g29_Tumor_4"	"g29"	"Tumor"	"4"
"g29_Tumor_7"	"g29"	"Tumor"	"7"
"g29_Tumor_13"	"g29"	"Tumor"	"13"
"g29_Tumor_27"	"g29"	"Tumor"	"27"
"g3_Bcells_19"	"g3"	"Bcells"	"19"
"g3_Myeloid_23"	"g3"	"Myeloid"	"23"
"g3_Stroma_24"	"g3"	"Stroma"	"24"
"g3_Tcells_0"	"g3"	"Tcells"	"0"
"g3_Tcells_1"	"g3"	"Tcells"	"1"
"g3_Tcells_6"	"g3"	"Tcells"	"6"
"g3_Tcells_9"	"g3"	"Tcells"	"9"
"g3_Tumor_3"	"g3"	"Tumor"	"3"
"g3_Tumor_4"	"g3"	"Tumor"	"4"
"g3_Tumor_7"	"g3"	"Tumor"	"7"
"g3_Tumor_11"	"g3"	"Tumor"	"11"
"g3_Tumor_13"	"g3"	"Tumor"	"13"
"g3_Tumor_17"	"g3"	"Tumor"	"17"
"g3_Tumor_20"	"g3"	"Tumor"	"20"
"g30_Stroma_24"	"g30"	"Stroma"	"24"
"g30_Tcells_0"	"g30"	"Tcells"	"0"
"g30_Tcells_1"	"g30"	"Tcells"	"1"
"g30_Tcells_6"	"g30"	"Tcells"	"6"
"g30_Tcells_9"	"g30"	"Tcells"	"9"
"g30_Tumor_4"	"g30"	"Tumor"	"4"
"g30_Tumor_7"	"g30"	"Tumor"	"7"
"g30_Tumor_15"	"g30"	"Tumor"	"15"
"g30_Tumor_17"	"g30"	"Tumor"	"17"
"g30_Tumor_27"	"g30"	"Tumor"	"27"
"g31_Tcells_0"	"g31"	"Tcells"	"0"
"g31_Tcells_6"	"g31"	"Tcells"	"6"
"g31_Tcells_9"	"g31"	"Tcells"	"9"
"g31_Tcells_12"	"g31"	"Tcells"	"12"
"g31_Tumor_7"	"g31"	"Tumor"	"7"
"g31_Tumor_10"	"g31"	"Tumor"	"10"
"g31_Tumor_11"	"g31"	"Tumor"	"11"
"g31_Tumor_20"	"g31"	"Tumor"	"20"
"g31_Tumor_28"	"g31"	"Tumor"	"28"
